scorer,Parth,Parth,Parth,Parth,Parth,Parth,Parth,Parth
bodyparts,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4
coords,x,y,x,y,x,y,x,y
labeled-data\rat9_front\good_reach_1_11722-11797\img11722.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11723.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11724.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11725.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11726.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11727.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11728.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11729.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11730.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11731.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11732.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11733.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11734.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11735.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11736.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11737.png,115.96863042524069,79.99035656192714,110.61891056259836,82.28309364591672,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11738.png,,,,,,,,
labeled-data\rat9_front\good_reach_1_11722-11797\img11739.png,117.11499896723546,75.7870052412796,114.82226188324591,81.51884795125352,107.94405063127721,83.04733934057991,103.35857646329808,88.01493635589064
labeled-data\rat9_front\good_reach_1_11722-11797\img11740.png,125.52170160853055,81.90097079858512,117.49712181456707,84.95795357723787,106.03343639461923,86.48644496656426,102.59433076863488,89.92555059254862
labeled-data\rat9_front\good_reach_1_11722-11797\img11741.png,128.57868438718333,86.86856781389585,119.02561320389344,88.01493635589064,106.03343639461923,88.01493635589064,103.74069931062965,87.63281350855904
labeled-data\rat9_front\good_reach_1_11722-11797\img11742.png,126.66807015052535,87.25069066122745,118.64349035656187,86.86856781389585,107.94405063127721,88.77918205055383,104.50494500529285,89.54342774521702
labeled-data\rat9_front\good_reach_1_11722-11797\img11743.png,126.28594730319375,86.86856781389585,119.02561320389344,88.01493635589064,109.09041917327198,90.3076734398802,102.97645361596648,89.54342774521702
labeled-data\rat9_front\good_reach_1_11722-11797\img11744.png,124.75745591386737,87.25069066122745,119.40773605122504,88.39705920322223,109.47254202060358,89.16130489788542,104.12282215796125,88.77918205055383
labeled-data\rat9_front\good_reach_1_11722-11797\img11745.png,123.99321021920417,88.39705920322223,119.78985889855664,89.16130489788542,109.47254202060358,89.16130489788542,105.65131354728763,91.07191913454339
labeled-data\rat9_front\good_reach_1_11722-11797\img11746.png,123.6110873718726,88.39705920322223,118.64349035656187,88.77918205055383,108.70829632594038,88.39705920322223,103.35857646329808,88.77918205055383
